Timestamp,LDR,Distance
2026-07-15 12:01:13.784411,116,1190.43
2026-07-15 12:01:13.785058,117,1190.38
2026-07-15 12:01:13.785425,116,1190.28
2026-07-15 12:01:13.785785,117,1190.4
2026-07-15 12:01:13.786073,118,81.22
2026-07-15 12:01:13.786396,117,1190.36
2026-07-15 12:01:13.786747,117,1190.43
2026-07-15 12:01:13.787220,117,11.54
2026-07-15 12:01:13.787582,118,55.94
2026-07-15 12:01:13.788016,118,53.42
2026-07-15 12:01:13.788437,117,54.28
2026-07-15 12:01:13.789064,117,14.32
2026-07-15 12:01:13.789288,117,60.99
2026-07-15 12:01:13.789545,117,1190.14
2026-07-15 12:01:13.790495,118,62.37
2026-07-15 12:01:13.791857,118,60.99
2026-07-15 12:01:13.792078,117,60.57
2026-07-15 12:01:13.792308,117,61.02
2026-07-15 12:01:13.792527,117,62.43
2026-07-15 12:01:13.792799,118,1190.35
2026-07-15 12:01:13.793056,117,62.53
2026-07-15 12:01:13.793299,118,62.01
2026-07-15 12:01:13.793529,117,61.45
2026-07-15 12:01:13.793777,117,61.16
2026-07-15 12:01:13.794138,116,61.41
2026-07-15 12:01:13.794362,116,60.57
2026-07-15 12:01:13.794572,116,60.71
2026-07-15 12:01:13.794822,116,59.77
2026-07-15 12:01:13.795033,117,59.6
2026-07-15 12:01:13.795249,117,49.86
2026-07-15 12:01:13.795445,116,60.59
2026-07-15 12:01:13.795636,117,49.87
2026-07-15 12:01:13.795833,117,49.36
2026-07-15 12:01:13.796008,117,47.2
2026-07-15 12:01:13.796201,116,49.36
2026-07-15 12:01:13.796371,116,49.36
2026-07-15 12:01:13.796554,116,49.37
2026-07-15 12:01:13.796727,116,49.34
2026-07-15 12:01:13.796891,117,49.98
2026-07-15 12:01:13.797053,116,64.07
2026-07-15 12:01:13.797217,116,49.46
2026-07-15 12:01:13.797378,117,49.7
2026-07-15 12:01:13.797530,116,62.99
2026-07-15 12:01:13.797690,116,49.19
2026-07-15 12:01:13.797840,116,64.78
2026-07-15 12:01:13.797991,117,49.36
2026-07-15 12:01:13.798153,116,49.86
2026-07-15 12:01:13.798311,116,47.21
2026-07-15 12:01:13.798447,116,49.68
2026-07-15 12:01:13.798585,116,64.81
2026-07-15 12:01:13.798772,116,63.27
2026-07-15 12:01:13.798970,116,62.29
2026-07-15 12:01:13.799098,116,62.99
2026-07-15 12:01:13.799223,116,61.47
2026-07-15 12:01:13.799347,116,63.97
2026-07-15 12:01:13.799490,116,1190.43
2026-07-15 12:01:13.799606,116,63.99
2026-07-15 12:01:13.799735,117,64.95
2026-07-15 12:01:13.799851,116,56.99
2026-07-15 12:01:13.799971,115,57.09
2026-07-15 12:01:13.800073,116,5.95
2026-07-15 12:01:13.800185,116,5.85
2026-07-15 12:01:13.800283,116,5.95
2026-07-15 12:01:13.800380,116,4.56
